GeneID	SRR13275195	SRR13275196	SRR13275197	SRR13275198	SRR13275199	SRR13275200	SRR13275201	SRR13275202	SRR13275203	SRR13275204	SRR13275205	SRR13275206	SRR13275207	SRR13275208	SRR13275209	SRR13275210	SRR13275211	SRR13275212	SRR13275213	SRR13275214	SRR13275215	SRR13275216	SRR13275217	SRR13275218	SRR13275219	SRR13275220	SRR13275221	SRR13275222	SRR13275223	SRR13275224	SRR13275225	SRR13275226	SRR13275227	SRR13275228	SRR13275229	SRR13275230	SRR13275231	SRR13275232	SRR13275233	SRR13275234	SRR13275235	SRR13275236	SRR13275237	SRR13275238	SRR13275239	SRR13275240	SRR13275241	SRR13275242	SRR13275243	SRR13275244	SRR13275245	SRR13275246	SRR13275247	SRR13275248	SRR13275249	SRR13275250
gene-AUO97_RS00005	0	0	0	0	0	0	0	0	2	2	5	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0
gene-AUO97_RS00010	14	10	14	6	6	9	16	5	102	99	132	65	3	13	14	6	2	3	7	1	15	10	8	6	22	7	17	10	18	8	6	11	47	7	3	82	57	71	48	27	32	24	26	30	59	63	68	51	15	13	27	25	21	23	30	41
gene-AUO97_RS00015	0	0	0	0	0	0	0	0	39	29	56	15	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	0	2	0	0	0	3	1	0	10	5	6	1	1	2	4	0	6	13	1	4	7	3	2	7	2	5	1	12	9
gene-AUO97_RS00020	10	19	7	14	11	11	30	12	181	168	206	124	4	2	25	8	10	12	6	18	6	18	32	18	28	4	16	18	23	7	18	18	94	4	13	93	147	118	73	68	109	52	65	160	160	195	154	160	32	58	45	43	55	70	121	133
gene-AUO97_RS00025	0	2	0	0	28	9	8	11	69	34	62	28	2	11	2	3	19	11	5	4	6	13	1	2	1	0	0	1	2	3	5	10	77	11	2	49	30	33	20	18	40	11	20	61	20	7	39	52	44	46	29	20	13	11	55	42
gene-AUO97_RS00030	3	0	0	0	0	0	0	0	3	14	5	8	0	0	1	0	0	0	0	0	0	1	8	0	0	0	0	1	0	0	0	0	3	0	0	0	2	0	1	0	0	0	0	5	2	7	1	5	0	0	1	1	2	0	1	0
gene-AUO97_RS00035	1	2	4	2	1	4	0	1	44	29	39	11	0	4	2	0	0	0	3	0	0	3	0	1	0	2	1	8	8	0	0	0	6	0	0	19	19	8	5	3	4	7	6	3	14	13	10	9	10	1	4	4	6	5	13	0
gene-AUO97_RS00040	2	4	3	0	0	0	0	0	30	19	30	26	7	0	16	0	0	5	0	0	0	1	6	7	5	1	9	2	9	6	0	0	0	0	1	1	0	7	2	0	1	5	4	0	5	4	5	3	5	0	0	4	5	3	1	6
gene-AUO97_RS00045	5	0	2	0	0	0	0	0	31	14	18	12	0	0	0	0	0	0	0	0	1	0	1	4	1	6	3	7	7	0	0	0	2	0	0	2	5	3	6	2	2	3	0	3	8	11	1	4	0	0	1	3	5	0	3	2
gene-AUO97_RS00050	3	15	5	4	4	3	0	5	38	25	38	36	0	0	6	0	8	7	1	0	7	4	0	10	4	7	6	3	10	0	0	0	4	0	0	9	5	10	3	3	11	4	4	4	14	25	15	12	9	4	3	6	3	8	10	10
