Run	FileName	Antibiotic	Time	Sample Name
SRR13275195	SRR13275195.txt	MOX	90	ab17978-MOX90min-b
SRR13275196	SRR13275196.txt	MOX	90	ab17978-MOX90min-c
SRR13275197	SRR13275197.txt	MOX	90	ab17978-MOX90min-d
SRR13275198	SRR13275198.txt	CIP	30	ab17978-CIP30min-a
SRR13275199	SRR13275199.txt	COL	90	ab17978-COL90min-a
SRR13275200	SRR13275200.txt	COL	90	ab17978-COL90min-b
SRR13275201	SRR13275201.txt	COL	90	ab17978-COL90min-c
SRR13275202	SRR13275202.txt	COL	90	ab17978-COL90min-d
SRR13275203	SRR13275203.txt	TOB	90	ab17978-TOB90min-a
SRR13275204	SRR13275204.txt	TOB	90	ab17978-TOB90min-b
SRR13275205	SRR13275205.txt	TOB	90	ab17978-TOB90min-c
SRR13275206	SRR13275206.txt	TOB	90	ab17978-TOB90min-d
SRR13275207	SRR13275207.txt	IMI	90	ab17978-IMI90min-a
SRR13275208	SRR13275208.txt	IMI	90	ab17978-IMI90min-b
SRR13275209	SRR13275209.txt	CIP	30	ab17978-CIP30min-b
SRR13275210	SRR13275210.txt	IMI	90	ab17978-IMI90min-c
SRR13275211	SRR13275211.txt	IMI	90	ab17978-IMI90min-d
SRR13275212	SRR13275212.txt	MER	90	ab17978-MER90min-a
SRR13275213	SRR13275213.txt	MER	90	ab17978-MER90min-b
SRR13275214	SRR13275214.txt	MER	90	ab17978-MER90min-c
SRR13275215	SRR13275215.txt	MER	90	ab17978-MER90min-d
SRR13275216	SRR13275216.txt	CIP	30	ab17978-CIP30min-c
SRR13275217	SRR13275217.txt	CIP	30	ab17978-CIP30min-d
SRR13275218	SRR13275218.txt	MOX	30	ab17978-MOX30min-a
SRR13275219	SRR13275219.txt	MOX	30	ab17978-MOX30min-b
SRR13275220	SRR13275220.txt	MOX	30	ab17978-MOX90min-a
SRR13275221	SRR13275221.txt	CIP	90	ab17978-CIP90min-d
SRR13275222	SRR13275222.txt	CIP	90	ab17978-CIP90min-c
SRR13275223	SRR13275223.txt	CIP	90	ab17978-CIP90min-b
SRR13275224	SRR13275224.txt	CIP	90	ab17978-CIP90min-a
SRR13275225	SRR13275225.txt	NDC	90	ab17978-NDC90min-d
SRR13275226	SRR13275226.txt	NDC	90	ab17978-NDC90min-c
SRR13275227	SRR13275227.txt	NDC	30	ab17978-NDC30min-d
SRR13275228	SRR13275228.txt	NDC	90	ab17978-NDC90min-b
SRR13275229	SRR13275229.txt	NDC	90	ab17978-NDC90min-a
SRR13275230	SRR13275230.txt	MER	30	ab17978-MER30min-d
SRR13275231	SRR13275231.txt	MER	30	ab17978-MER30min-c
SRR13275232	SRR13275232.txt	MER	30	ab17978-MER30min-b
SRR13275233	SRR13275233.txt	MER	30	ab17978-MER30min-a
SRR13275234	SRR13275234.txt	IMI	30	ab17978-IMI30min-d
SRR13275235	SRR13275235.txt	IMI	30	ab17978-IMI30min-c
SRR13275236	SRR13275236.txt	IMI	30	ab17978-IMI30min-b
SRR13275237	SRR13275237.txt	IMI	30	ab17978-IMI30min-a
SRR13275238	SRR13275238.txt	NDC	30	ab17978-NDC30min-c
SRR13275239	SRR13275239.txt	TOB	30	ab17978-TOB30min-d
SRR13275240	SRR13275240.txt	TOB	30	ab17978-TOB30min-c
SRR13275241	SRR13275241.txt	TOB	30	ab17978-TOB30min-b
SRR13275242	SRR13275242.txt	TOB	30	ab17978-TOB30min-a
SRR13275243	SRR13275243.txt	COL	30	ab17978-COL30min-d
SRR13275244	SRR13275244.txt	COL	30	ab17978-COL30min-c
SRR13275245	SRR13275245.txt	COL	30	ab17978-COL30min-b
SRR13275246	SRR13275246.txt	COL	30	ab17978-COL30min-a
SRR13275247	SRR13275247.txt	MOX	30	ab17978-MOX30min-d
SRR13275248	SRR13275248.txt	MOX	30	ab17978-MOX30min-c
SRR13275249	SRR13275249.txt	NDC	30	ab17978-NDC30min-b
SRR13275250	SRR13275250.txt	NDC	30	ab17978-NDC30min-a
