Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SAMPLE_TYPE,SRA Study,STRAIN
SRR13275195,RNA-Seq,58,309195448,PRJNA686448,SAMN17118237,"Microbe\, viral or environmental",110712535,TUFTS UNIVERSITY,2020-03-20,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9705076,USA,North America,USA,NextSeq 500,bacterial culture,ab17978-MOX90min-b,SINGLE,cDNA,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2020-12-21T00:00:00Z,ab17978-MOX90min-b,Whole organism,SRP298531,ATCC 18015
SRR13275196,RNA-Seq,58,349533752,PRJNA686448,SAMN17118238,"Microbe\, viral or environmental",124576932,TUFTS UNIVERSITY,2020-03-20,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9705075,USA,North America,USA,NextSeq 500,bacterial culture,ab17978-MOX90min-c,SINGLE,cDNA,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2020-12-21T00:00:00Z,ab17978-MOX90min-c,Whole organism,SRP298531,ATCC 18016
SRR13275197,RNA-Seq,58,326027048,PRJNA686448,SAMN17118239,"Microbe\, viral or environmental",115840720,TUFTS UNIVERSITY,2020-03-20,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9705074,USA,North America,USA,NextSeq 500,bacterial culture,ab17978-MOX90min-d,SINGLE,cDNA,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2020-12-21T00:00:00Z,ab17978-MOX90min-d,Whole organism,SRP298531,ATCC 18017
SRR13275198,RNA-Seq,58,176010048,PRJNA686448,SAMN17118204,"Microbe\, viral or environmental",62165636,TUFTS UNIVERSITY,2020-03-20,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9705073,USA,North America,USA,NextSeq 500,bacterial culture,ab17978-CIP30min-a,SINGLE,cDNA,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2020-12-21T00:00:00Z,ab17978-CIP30min-a,Whole organism,SRP298531,ATCC 17982
SRR13275199,RNA-Seq,58,304187148,PRJNA686448,SAMN17118240,"Microbe\, viral or environmental",106501338,TUFTS UNIVERSITY,2020-03-20,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9705072,USA,North America,USA,NextSeq 500,bacterial culture,ab17978-COL90min-a,SINGLE,cDNA,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2020-12-21T00:00:00Z,ab17978-COL90min-a,Whole organism,SRP298531,ATCC 18018
SRR13275200,RNA-Seq,58,297668876,PRJNA686448,SAMN17118241,"Microbe\, viral or environmental",104990372,TUFTS UNIVERSITY,2020-03-20,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9705071,USA,North America,USA,NextSeq 500,bacterial culture,ab17978-COL90min-b,SINGLE,cDNA,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2020-12-21T00:00:00Z,ab17978-COL90min-b,Whole organism,SRP298531,ATCC 18019
SRR13275201,RNA-Seq,58,287096520,PRJNA686448,SAMN17118242,"Microbe\, viral or environmental",101828501,TUFTS UNIVERSITY,2020-03-20,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9705070,USA,North America,USA,NextSeq 500,bacterial culture,ab17978-COL90min-c,SINGLE,cDNA,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2020-12-21T00:00:00Z,ab17978-COL90min-c,Whole organism,SRP298531,ATCC 18020
SRR13275202,RNA-Seq,58,245988498,PRJNA686448,SAMN17118243,"Microbe\, viral or environmental",86882323,TUFTS UNIVERSITY,2020-03-20,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9705069,USA,North America,USA,NextSeq 500,bacterial culture,ab17978-COL90min-d,SINGLE,cDNA,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2020-12-21T00:00:00Z,ab17978-COL90min-d,Whole organism,SRP298531,ATCC 18021
SRR13275203,RNA-Seq,58,375607188,PRJNA686448,SAMN17118244,"Microbe\, viral or environmental",131245752,TUFTS UNIVERSITY,2020-03-20,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9705068,USA,North America,USA,NextSeq 500,bacterial culture,ab17978-TOB90min-a,SINGLE,cDNA,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2020-12-21T00:00:00Z,ab17978-TOB90min-a,Whole organism,SRP298531,ATCC 18022
SRR13275204,RNA-Seq,58,416263738,PRJNA686448,SAMN17118245,"Microbe\, viral or environmental",146288803,TUFTS UNIVERSITY,2020-03-20,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9705067,USA,North America,USA,NextSeq 500,bacterial culture,ab17978-TOB90min-b,SINGLE,cDNA,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2020-12-21T00:00:00Z,ab17978-TOB90min-b,Whole organism,SRP298531,ATCC 18023
