Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR13275195	SRR13275195.fastq	Conventional base calls	Sanger / Illumina 1.9	5330956.0	0.0	58.0	42.0	21.565693642007172	58.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	pass
SRR13275196	SRR13275196.fastq	Conventional base calls	Sanger / Illumina 1.9	6026444.0	0.0	58.0	42.0	20.188403039637752	58.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	pass
SRR13275197	SRR13275197.fastq	Conventional base calls	Sanger / Illumina 1.9	5621156.0	0.0	58.0	42.0	20.730170663012025	58.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	pass
SRR13275198	SRR13275198.fastq	Conventional base calls	Sanger / Illumina 1.9	3034656.0	0.0	58.0	42.0	26.007326077516744	58.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	pass
SRR13275199	SRR13275199.fastq	Conventional base calls	Sanger / Illumina 1.9	5244606.0	0.0	58.0	43.0	20.302884933956904	58.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	pass
SRR13275200	SRR13275200.fastq	Conventional base calls	Sanger / Illumina 1.9	5132222.0	0.0	58.0	42.0	20.808447841510787	58.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	pass
SRR13275201	SRR13275201.fastq	Conventional base calls	Sanger / Illumina 1.9	4949940.0	0.0	58.0	42.0	21.39183346698596	58.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	pass
SRR13275202	SRR13275202.fastq	Conventional base calls	Sanger / Illumina 1.9	4241181.0	0.0	58.0	42.0	22.28264174656323	58.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	pass
SRR13275203	SRR13275203.fastq	Conventional base calls	Sanger / Illumina 1.9	6475986.0	0.0	58.0	42.0	26.685067893519403	58.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	pass
SRR13275204	SRR13275204.fastq	Conventional base calls	Sanger / Illumina 1.9	7176961.0	0.0	58.0	42.0	26.444805964896563	58.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	pass
SRR13275205	SRR13275205.fastq	Conventional base calls	Sanger / Illumina 1.9	7922241.0	0.0	58.0	42.0	27.98285430740231	58.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	pass
SRR13275206	SRR13275206.fastq	Conventional base calls	Sanger / Illumina 1.9	4564375.0	0.0	58.0	42.0	29.31935334842704	58.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	pass
SRR13275207	SRR13275207.fastq	Conventional base calls	Sanger / Illumina 1.9	3592733.0	0.0	58.0	42.0	20.11146991125342	58.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	pass
SRR13275208	SRR13275208.fastq	Conventional base calls	Sanger / Illumina 1.9	4664896.0	0.0	58.0	43.0	19.92465435015573	58.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	pass
SRR13275209	SRR13275209.fastq	Conventional base calls	Sanger / Illumina 1.9	4315003.0	0.0	58.0	41.0	25.24918096422769	58.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	pass
SRR13275210	SRR13275210.fastq	Conventional base calls	Sanger / Illumina 1.9	3730105.0	0.0	58.0	42.0	21.42995360594092	58.0	pass	pass	pass	pass	pass	pass	pass	fail	fail	pass
SRR13275211	SRR13275211.fastq	Conventional base calls	Sanger / Illumina 1.9	4421735.0	0.0	58.0	42.0	20.241825118833635	58.0	pass	pass	pass	pass	pass	pass	pass	fail	fail	pass
