Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR13275195	78.43430635799282	42.0	58.0	20.0	5330956.0
SRR13275196	79.81159696036225	42.0	58.0	20.0	6026444.0
SRR13275197	79.26982933698798	42.0	58.0	20.0	5621156.0
SRR13275198	73.99267392248325	42.0	58.0	20.0	3034656.0
SRR13275199	79.6971150660431	43.0	58.0	20.0	5244606.0
SRR13275200	79.19155215848922	42.0	58.0	20.0	5132222.0
SRR13275201	78.60816653301404	42.0	58.0	20.0	4949940.0
SRR13275202	77.71735825343677	42.0	58.0	20.0	4241181.0
SRR13275203	73.3149321064806	42.0	58.0	20.0	6475986.0
SRR13275204	73.55519403510344	42.0	58.0	20.0	7176961.0
SRR13275205	72.0171456925977	42.0	58.0	20.0	7922241.0
SRR13275206	70.68064665157296	42.0	58.0	20.0	4564375.0
SRR13275207	79.88853008874658	42.0	58.0	20.0	3592733.0
SRR13275208	80.07534564984427	43.0	58.0	20.0	4664896.0
SRR13275209	74.75081903577231	41.0	58.0	20.0	4315003.0
SRR13275210	78.57004639405908	42.0	58.0	20.0	3730105.0
SRR13275211	79.75817488116637	42.0	58.0	20.0	4421735.0
SRR13275212	78.18711472662065	42.0	58.0	20.0	4231990.0
SRR13275213	79.37531195572453	43.0	58.0	20.0	4307889.0
SRR13275214	78.72113588778616	42.0	58.0	20.0	3368385.0
SRR13275215	76.48655926733062	42.0	58.0	20.0	2908087.0
SRR13275216	73.90537898353107	41.0	58.0	20.0	3128577.0
SRR13275217	72.4297325960347	42.0	58.0	20.0	2614118.0
SRR13275218	75.68063095307441	42.0	58.0	20.0	4159304.0
SRR13275219	73.69802594866967	41.0	58.0	20.0	3469394.0
SRR13275220	78.03569274719106	42.0	58.0	20.0	3294492.0
SRR13275221	80.25226733474574	42.0	58.0	20.0	6097657.0
SRR13275222	79.33079723876638	42.0	58.0	20.0	6595711.0
SRR13275223	80.39492768081283	42.0	58.0	20.0	6623052.0
SRR13275224	77.52152785849904	42.0	58.0	20.0	3644845.0
SRR13275225	78.3149791095355	42.0	58.0	20.0	4134872.0
SRR13275226	76.86163393811879	42.0	58.0	20.0	3225031.0
SRR13275227	72.31465659317821	41.0	58.0	20.0	4145006.0
SRR13275228	79.27498467933461	42.0	58.0	20.0	4413690.0
SRR13275229	77.51277648617749	43.0	58.0	20.0	3148241.0
SRR13275230	77.6239210244884	41.0	58.0	20.0	9228198.0
SRR13275231	76.51564482740957	41.0	58.0	20.0	7624084.0
SRR13275232	76.0859789190321	41.0	58.0	20.0	8331809.0
SRR13275233	77.21663322354061	41.0	58.0	20.0	7001241.0
SRR13275234	72.75028657631137	41.0	58.0	20.0	4478937.0
SRR13275235	72.08628149765828	41.0	58.0	20.0	5535320.0
SRR13275236	73.25904592205808	41.0	58.0	20.0	4880554.0
SRR13275237	75.90329537260608	42.0	58.0	20.0	5755175.0
SRR13275238	74.1602518379937	41.0	58.0	20.0	4637008.0
SRR13275239	75.20849612296232	41.0	58.0	20.0	5920579.0
SRR13275240	74.60920290193118	41.0	58.0	20.0	5433674.0
SRR13275241	74.42779201340699	41.0	58.0	20.0	6272506.0
SRR13275242	72.18196589816361	41.0	58.0	20.0	4500049.0
SRR13275243	74.74080045386879	41.0	58.0	20.0	5797817.0
SRR13275244	75.28972194756979	41.0	58.0	20.0	6174857.0
SRR13275245	74.61860545137958	41.0	58.0	20.0	6230087.0
SRR13275246	76.37270022774402	41.0	58.0	20.0	6594194.0
SRR13275247	76.2776547170939	42.0	58.0	20.0	4801845.0
SRR13275248	75.57076150462473	41.0	58.0	20.0	5008869.0
SRR13275249	74.20609364035913	42.0	58.0	20.0	4716101.0
SRR13275250	76.19271115134703	41.0	58.0	20.0	4858823.0
