Module	Section	Sample Name	Source
FastQC	all_sections	SRR13275195	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275195_fastqc.zip
FastQC	all_sections	SRR13275196	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275196_fastqc.zip
FastQC	all_sections	SRR13275197	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275197_fastqc.zip
FastQC	all_sections	SRR13275198	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275198_fastqc.zip
FastQC	all_sections	SRR13275199	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275199_fastqc.zip
FastQC	all_sections	SRR13275200	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275200_fastqc.zip
FastQC	all_sections	SRR13275201	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275201_fastqc.zip
FastQC	all_sections	SRR13275202	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275202_fastqc.zip
FastQC	all_sections	SRR13275203	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275203_fastqc.zip
FastQC	all_sections	SRR13275204	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275204_fastqc.zip
FastQC	all_sections	SRR13275205	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275205_fastqc.zip
FastQC	all_sections	SRR13275206	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275206_fastqc.zip
FastQC	all_sections	SRR13275207	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275207_fastqc.zip
FastQC	all_sections	SRR13275208	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275208_fastqc.zip
FastQC	all_sections	SRR13275209	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275209_fastqc.zip
FastQC	all_sections	SRR13275210	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275210_fastqc.zip
FastQC	all_sections	SRR13275211	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275211_fastqc.zip
FastQC	all_sections	SRR13275212	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275212_fastqc.zip
FastQC	all_sections	SRR13275213	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275213_fastqc.zip
FastQC	all_sections	SRR13275214	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275214_fastqc.zip
FastQC	all_sections	SRR13275215	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275215_fastqc.zip
FastQC	all_sections	SRR13275216	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275216_fastqc.zip
FastQC	all_sections	SRR13275217	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275217_fastqc.zip
FastQC	all_sections	SRR13275218	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275218_fastqc.zip
FastQC	all_sections	SRR13275219	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275219_fastqc.zip
FastQC	all_sections	SRR13275220	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275220_fastqc.zip
FastQC	all_sections	SRR13275221	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275221_fastqc.zip
FastQC	all_sections	SRR13275222	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275222_fastqc.zip
FastQC	all_sections	SRR13275223	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275223_fastqc.zip
FastQC	all_sections	SRR13275224	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275224_fastqc.zip
FastQC	all_sections	SRR13275225	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275225_fastqc.zip
FastQC	all_sections	SRR13275226	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275226_fastqc.zip
FastQC	all_sections	SRR13275227	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275227_fastqc.zip
FastQC	all_sections	SRR13275228	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275228_fastqc.zip
FastQC	all_sections	SRR13275229	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275229_fastqc.zip
FastQC	all_sections	SRR13275230	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275230_fastqc.zip
FastQC	all_sections	SRR13275231	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275231_fastqc.zip
FastQC	all_sections	SRR13275232	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275232_fastqc.zip
FastQC	all_sections	SRR13275233	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275233_fastqc.zip
FastQC	all_sections	SRR13275234	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275234_fastqc.zip
FastQC	all_sections	SRR13275235	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275235_fastqc.zip
FastQC	all_sections	SRR13275236	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275236_fastqc.zip
FastQC	all_sections	SRR13275237	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275237_fastqc.zip
FastQC	all_sections	SRR13275238	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275238_fastqc.zip
FastQC	all_sections	SRR13275239	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275239_fastqc.zip
FastQC	all_sections	SRR13275240	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275240_fastqc.zip
FastQC	all_sections	SRR13275241	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275241_fastqc.zip
FastQC	all_sections	SRR13275242	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275242_fastqc.zip
FastQC	all_sections	SRR13275243	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275243_fastqc.zip
FastQC	all_sections	SRR13275244	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275244_fastqc.zip
FastQC	all_sections	SRR13275245	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275245_fastqc.zip
FastQC	all_sections	SRR13275246	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275246_fastqc.zip
FastQC	all_sections	SRR13275247	/mnt/c/Users/zenak/Desktop/UnixTutorialTestAlignment/FastQCOut/SRR13275247_fastqc.zip
