GeneID	Chromosome	Start	End
gene-AUO97_RS00010	NZ_CP018664.1	1277	2113
gene-AUO97_RS00015	NZ_CP018664.1	2164	2769
gene-AUO97_RS00020	NZ_CP018664.1	3336	3662
gene-AUO97_RS00025	NZ_CP018664.1	3659	4129
gene-AUO97_RS00030	NZ_CP018664.1	4293	4655
gene-AUO97_RS00035	NZ_CP018664.1	4942	5586
gene-AUO97_RS00040	NZ_CP018664.1	5583	6182
gene-AUO97_RS00045	NZ_CP018664.1	6157	6951
gene-AUO97_RS00050	NZ_CP018664.1	6939	7913
gene-AUO97_RS00055	NZ_CP018664.1	8212	8445
gene-AUO97_RS00060	NZ_CP018664.1	8594	9991
gene-AUO97_RS00065	NZ_CP018664.1	10094	11662
gene-AUO97_RS00070	NZ_CP018664.1	11773	13155
gene-AUO97_RS00075	NZ_CP018664.1	13253	14170
gene-AUO97_RS00080	NZ_CP018664.1	14228	14301
gene-AUO97_RS00085	NZ_CP018664.1	14367	14451
gene-AUO97_RS00090	NZ_CP018664.1	14479	14552
gene-AUO97_RS00095	NZ_CP018664.1	14609	14693
gene-AUO97_RS00100	NZ_CP018664.1	14799	15602
gene-AUO97_RS00105	NZ_CP018664.1	15589	17097
gene-AUO97_RS00110	NZ_CP018664.1	17276	18157
gene-AUO97_RS00120	NZ_CP018664.1	19368	20378
gene-AUO97_RS00125	NZ_CP018664.1	20524	20739
gene-AUO97_RS00130	NZ_CP018664.1	20766	21212
gene-AUO97_RS00135	NZ_CP018664.1	21303	22730
gene-AUO97_RS00140	NZ_CP018664.1	22878	23843
gene-AUO97_RS00145	NZ_CP018664.1	23855	24505
gene-AUO97_RS00150	NZ_CP018664.1	24606	26495
gene-AUO97_RS00155	NZ_CP018664.1	26574	28115
gene-AUO97_RS00160	NZ_CP018664.1	28141	28728
gene-AUO97_RS00165	NZ_CP018664.1	28735	29739
gene-AUO97_RS00170	NZ_CP018664.1	29829	30308
gene-AUO97_RS00175	NZ_CP018664.1	30308	31447
gene-AUO97_RS00180	NZ_CP018664.1	31470	31925
gene-AUO97_RS00185	NZ_CP018664.1	31982	33055
gene-AUO97_RS00190	NZ_CP018664.1	33091	33666
gene-AUO97_RS00195	NZ_CP018664.1	33870	34250
gene-AUO97_RS00200	NZ_CP018664.1	34287	35438
gene-AUO97_RS00205	NZ_CP018664.1	35542	35754
gene-AUO97_RS00210	NZ_CP018664.1	36129	36374
gene-AUO97_RS00215	NZ_CP018664.1	36508	37374
gene-AUO97_RS00220	NZ_CP018664.1	37486	37851
gene-AUO97_RS00225	NZ_CP018664.1	37865	38062
gene-AUO97_RS00230	NZ_CP018664.1	38076	38861
gene-AUO97_RS00235	NZ_CP018664.1	38998	39621
gene-AUO97_RS00240	NZ_CP018664.1	39641	40414
gene-AUO97_RS00245	NZ_CP018664.1	40541	41173
gene-AUO97_RS00250	NZ_CP018664.1	41231	42832
gene-AUO97_RS00255	NZ_CP018664.1	42900	43874
gene-AUO97_RS00260	NZ_CP018664.1	44130	45398
gene-AUO97_RS00265	NZ_CP018664.1	45401	45784
gene-AUO97_RS00270	NZ_CP018664.1	45797	46255
gene-AUO97_RS00275	NZ_CP018664.1	46515	47561
gene-AUO97_RS00280	NZ_CP018664.1	47597	49057
gene-AUO97_RS00285	NZ_CP018664.1	49228	49611
gene-AUO97_RS00290	NZ_CP018664.1	49739	51985
gene-AUO97_RS00295	NZ_CP018664.1	52094	53203
gene-AUO97_RS00300	NZ_CP018664.1	53389	54333
gene-AUO97_RS00305	NZ_CP018664.1	54377	55522
gene-AUO97_RS00310	NZ_CP018664.1	55686	57044
gene-AUO97_RS00320	NZ_CP018664.1	57543	58556
gene-AUO97_RS00325	NZ_CP018664.1	58758	59030
gene-AUO97_RS00330	NZ_CP018664.1	59027	59935
gene-AUO97_RS00335	NZ_CP018664.1	60121	62517
gene-AUO97_RS00340	NZ_CP018664.1	62538	63089
gene-AUO97_RS00345	NZ_CP018664.1	63111	64010
gene-AUO97_RS00350	NZ_CP018664.1	64147	64317
gene-AUO97_RS00355	NZ_CP018664.1	64383	65741
gene-AUO97_RS00360	NZ_CP018664.1	65738	66400
gene-AUO97_RS00365	NZ_CP018664.1	66508	66867
gene-AUO97_RS00370	NZ_CP018664.1	66949	68706
gene-AUO97_RS00375	NZ_CP018664.1	68994	70262
gene-AUO97_RS00380	NZ_CP018664.1	70272	71000
gene-AUO97_RS00385	NZ_CP018664.1	71105	71884
gene-AUO97_RS00390	NZ_CP018664.1	71939	72808
gene-AUO97_RS00395	NZ_CP018664.1	73038	74504
gene-AUO97_RS00400	NZ_CP018664.1	74561	75931
gene-AUO97_RS00405	NZ_CP018664.1	75934	76197
gene-AUO97_RS00410	NZ_CP018664.1	76433	76762
gene-AUO97_RS00415	NZ_CP018664.1	76835	77611
