GeneID	GenedbRef	GeneName	Locus_tag	Start	End
gene-AUO97_RS00010	Gene	AUO97_RS00010	AUO97_RS00010	1277	2113
gene-AUO97_RS00015	Gene	AUO97_RS00015	AUO97_RS00015	2164	2769
gene-AUO97_RS00020	Gene	AUO97_RS00020	AUO97_RS00020	3336	3662
gene-AUO97_RS00025	Gene	AUO97_RS00025	AUO97_RS00025	3659	4129
gene-AUO97_RS00030	Gene	AUO97_RS00030	AUO97_RS00030	4293	4655
gene-AUO97_RS00035	Gene	AUO97_RS00035	AUO97_RS00035	4942	5586
gene-AUO97_RS00040	Gene	AUO97_RS00040	AUO97_RS00040	5583	6182
gene-AUO97_RS00045	Gene	AUO97_RS00045	AUO97_RS00045	6157	6951
gene-AUO97_RS00050	Gene	AUO97_RS00050	AUO97_RS00050	6939	7913
gene-AUO97_RS00055	Gene	AUO97_RS00055	AUO97_RS00055	8212	8445
gene-AUO97_RS00060	Gene	AUO97_RS00060	AUO97_RS00060	8594	9991
gene-AUO97_RS00065	Gene	AUO97_RS00065	AUO97_RS00065	10094	11662
gene-AUO97_RS00070	Gene	AUO97_RS00070	AUO97_RS00070	11773	13155
gene-AUO97_RS00075	Gene	AUO97_RS00075	AUO97_RS00075	13253	14170
gene-AUO97_RS00080	Gene	AUO97_RS00080	AUO97_RS00080	14228	14301
gene-AUO97_RS00085	Gene	AUO97_RS00085	AUO97_RS00085	14367	14451
gene-AUO97_RS00090	Gene	AUO97_RS00090	AUO97_RS00090	14479	14552
gene-AUO97_RS00095	Gene	AUO97_RS00095	AUO97_RS00095	14609	14693
gene-AUO97_RS00100	Gene	AUO97_RS00100	AUO97_RS00100	14799	15602
gene-AUO97_RS00105	Gene	AUO97_RS00105	AUO97_RS00105	15589	17097
gene-AUO97_RS00110	Gene	AUO97_RS00110	AUO97_RS00110	17276	18157
gene-AUO97_RS00120	Gene	tsaD	AUO97_RS00120	19368	20378
gene-AUO97_RS00125	Gene	rpsU	AUO97_RS00125	20524	20739
gene-AUO97_RS00130	Gene	AUO97_RS00130	AUO97_RS00130	20766	21212
gene-AUO97_RS00135	Gene	AUO97_RS00135	AUO97_RS00135	21303	22730
gene-AUO97_RS00140	Gene	AUO97_RS00140	AUO97_RS00140	22878	23843
gene-AUO97_RS00145	Gene	AUO97_RS00145	AUO97_RS00145	23855	24505
gene-AUO97_RS00150	Gene	AUO97_RS00150	AUO97_RS00150	24606	26495
gene-AUO97_RS00155	Gene	purF	AUO97_RS00155	26574	28115
gene-AUO97_RS00160	Gene	AUO97_RS00160	AUO97_RS00160	28141	28728
gene-AUO97_RS00165	Gene	AUO97_RS00165	AUO97_RS00165	28735	29739
gene-AUO97_RS00170	Gene	AUO97_RS00170	AUO97_RS00170	29829	30308
gene-AUO97_RS00175	Gene	AUO97_RS00175	AUO97_RS00175	30308	31447
gene-AUO97_RS00180	Gene	AUO97_RS00180	AUO97_RS00180	31470	31925
gene-AUO97_RS00185	Gene	AUO97_RS00185	AUO97_RS00185	31982	33055
gene-AUO97_RS00190	Gene	AUO97_RS00190	AUO97_RS00190	33091	33666
gene-AUO97_RS00195	Gene	AUO97_RS00195	AUO97_RS00195	33870	34250
gene-AUO97_RS00200	Gene	rhlB	AUO97_RS00200	34287	35438
gene-AUO97_RS00205	Gene	AUO97_RS00205	AUO97_RS00205	35542	35754
gene-AUO97_RS00210	Gene	AUO97_RS00210	AUO97_RS00210	36129	36374
gene-AUO97_RS00215	Gene	rpoH	AUO97_RS00215	36508	37374
gene-AUO97_RS00220	Gene	AUO97_RS00220	AUO97_RS00220	37486	37851
gene-AUO97_RS00225	Gene	thiS	AUO97_RS00225	37865	38062
gene-AUO97_RS00230	Gene	AUO97_RS00230	AUO97_RS00230	38076	38861
gene-AUO97_RS00235	Gene	AUO97_RS00235	AUO97_RS00235	38998	39621
gene-AUO97_RS00240	Gene	yaaA	AUO97_RS00240	39641	40414
gene-AUO97_RS00245	Gene	AUO97_RS00245	AUO97_RS00245	40541	41173
gene-AUO97_RS00250	Gene	rtcR	AUO97_RS00250	41231	42832
gene-AUO97_RS00255	Gene	AUO97_RS00255	AUO97_RS00255	42900	43874
gene-AUO97_RS00260	Gene	AUO97_RS00260	AUO97_RS00260	44130	45398
gene-AUO97_RS00265	Gene	AUO97_RS00265	AUO97_RS00265	45401	45784
gene-AUO97_RS00270	Gene	AUO97_RS00270	AUO97_RS00270	45797	46255
